YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AA,236,N3HLAA,SEA,JFK,715,710.0,-5.0,19.0,729.0,315.0,301.0,277.0,2422,1506.0,5.0,1530,1511.0,-19.0,0,0,,,,,,
2015,1,1,4,DL,1994,N3758Y,PHX,JFK,715,829.0,74.0,45.0,914.0,275.0,272.0,221.0,2153,1455.0,6.0,1350,1501.0,71.0,0,0,,0.0,0.0,0.0,0.0,71.0
2015,1,1,4,AA,24,N784AA,SFO,JFK,720,714.0,-6.0,20.0,734.0,340.0,332.0,307.0,2586,1541.0,5.0,1600,1546.0,-14.0,0,0,,,,,,
2015,1,1,4,B6,326,N639JB,TPA,JFK,728,723.0,-5.0,18.0,741.0,151.0,161.0,135.0,1005,956.0,8.0,959,1004.0,5.0,0,0,,,,,,
2015,1,1,4,VX,404,N621VA,LAX,JFK,730,728.0,-2.0,7.0,735.0,320.0,284.0,268.0,2475,1503.0,9.0,1550,1512.0,-38.0,0,0,,,,,,
2015,1,1,4,B6,1702,N807JB,FLL,JFK,730,729.0,-1.0,13.0,742.0,164.0,159.0,142.0,1069,1004.0,4.0,1014,1008.0,-6.0,0,0,,,,,,
2015,1,1,4,DL,2648,N929AT,TPA,JFK,745,740.0,-5.0,10.0,750.0,156.0,146.0,129.0,1005,959.0,7.0,1021,1006.0,-15.0,0,0,,,,,,
2015,1,1,4,AA,94,N3ANAA,SAN,JFK,755,810.0,15.0,13.0,823.0,320.0,281.0,262.0,2446,1545.0,6.0,1615,1551.0,-24.0,0,0,,,,,,
2015,1,1,4,DL,326,N3750D,SJU,JFK,755,752.0,-3.0,12.0,804.0,239.0,245.0,225.0,1598,1049.0,8.0,1054,1057.0,3.0,0,0,,,,,,
2015,1,1,4,B6,617,N203JB,BOS,JFK,800,755.0,-5.0,20.0,815.0,76.0,79.0,50.0,187,905.0,9.0,916,914.0,-2.0,0,0,,,,,,
2015,1,1,4,DL,1972,N3732J,AUS,JFK,800,813.0,13.0,15.0,828.0,208.0,195.0,173.0,1521,1221.0,7.0,1228,1228.0,0.0,0,0,,,,,,
2015,1,1,4,DL,2350,N3734B,DTW,JFK,809,804.0,-5.0,10.0,814.0,119.0,88.0,73.0,509,927.0,5.0,1008,932.0,-36.0,0,0,,,,,,
2015,1,1,4,AA,44,N3AJAA,LAS,JFK,810,803.0,-7.0,17.0,820.0,295.0,272.0,248.0,2248,1528.0,7.0,1605,1535.0,-30.0,0,0,,,,,,
2015,1,1,4,UA,275,N598UA,LAX,JFK,811,806.0,-5.0,20.0,826.0,319.0,300.0,277.0,2475,1603.0,3.0,1630,1606.0,-24.0,0,0,,,,,,
2015,1,1,4,B6,124,N943JB,LAX,JFK,815,814.0,-1.0,10.0,824.0,316.0,298.0,279.0,2475,1603.0,9.0,1631,1612.0,-19.0,0,0,,,,,,
2015,1,1,4,DL,782,N925DL,MIA,JFK,815,813.0,-2.0,19.0,832.0,173.0,170.0,142.0,1089,1054.0,9.0,1108,1103.0,-5.0,0,0,,,,,,
2015,1,1,4,B6,2,N633JB,FLL,JFK,818,901.0,43.0,11.0,912.0,162.0,159.0,140.0,1069,1132.0,8.0,1100,1140.0,40.0,0,0,,0.0,0.0,27.0,13.0,0.0
2015,1,1,4,DL,2416,N894AT,MCO,JFK,820,818.0,-2.0,9.0,827.0,152.0,137.0,122.0,944,1029.0,6.0,1052,1035.0,-17.0,0,0,,,,,,
2015,1,1,4,DL,414,N710TW,SFO,JFK,830,956.0,86.0,19.0,1015.0,325.0,322.0,291.0,2586,1806.0,12.0,1655,1818.0,83.0,0,0,,0.0,0.0,83.0,0.0,0.0
2015,1,1,4,B6,1308,N348JB,IAD,JFK,838,830.0,-8.0,14.0,844.0,72.0,69.0,47.0,228,931.0,8.0,950,939.0,-11.0,0,0,,,,,,
2015,1,1,4,AA,1640,N5EBAA,EGE,JFK,845,844.0,-1.0,40.0,924.0,260.0,234.0,190.0,1746,1434.0,4.0,1505,1438.0,-27.0,0,0,,,,,,
2015,1,1,4,B6,754,N534JB,PBI,JFK,845,840.0,-5.0,11.0,851.0,154.0,153.0,137.0,1028,1108.0,5.0,1119,1113.0,-6.0,0,0,,,,,,
2015,1,1,4,DL,2428,N3761R,SAT,JFK,845,853.0,8.0,12.0,905.0,222.0,197.0,180.0,1587,1305.0,5.0,1327,1310.0,-17.0,0,0,,,,,,
2015,1,1,4,MQ,3329,N824MQ,CMH,JFK,845,843.0,-2.0,16.0,859.0,100.0,88.0,67.0,483,1006.0,5.0,1025,1011.0,-14.0,0,0,,,,,,
2015,1,1,4,UA,898,N546UA,SFO,JFK,850,847.0,-3.0,16.0,903.0,336.0,314.0,287.0,2586,1650.0,11.0,1726,1701.0,-25.0,0,0,,,,,,
2015,1,1,4,AA,164,N790AA,SFO,JFK,850,1203.0,193.0,21.0,1224.0,340.0,341.0,306.0,2586,2030.0,14.0,1730,2044.0,194.0,0,0,,1.0,0.0,193.0,0.0,0.0
2015,1,1,4,AA,2,N795AA,LAX,JFK,900,856.0,-4.0,16.0,912.0,335.0,295.0,271.0,2475,1643.0,8.0,1735,1651.0,-44.0,0,0,,,,,,
2015,1,1,4,B6,2301,N571JB,BUF,JFK,910,901.0,-9.0,22.0,923.0,82.0,79.0,52.0,301,1015.0,5.0,1032,1020.0,-12.0,0,0,,,,,,
2015,1,1,4,DL,16,N199DN,LAX,JFK,910,907.0,-3.0,22.0,929.0,326.0,296.0,266.0,2475,1655.0,8.0,1736,1703.0,-33.0,0,0,,,,,,
2015,1,1,4,VX,500,N635VA,FLL,JFK,915,913.0,-2.0,12.0,925.0,160.0,165.0,146.0,1069,1151.0,7.0,1155,1158.0,3.0,0,0,,,,,,
2015,1,1,4,US,1830,N825AW,CLT,JFK,920,937.0,17.0,15.0,952.0,102.0,95.0,74.0,541,1106.0,6.0,1102,1112.0,10.0,0,0,,,,,,
2015,1,1,4,VX,22,N845VA,SFO,JFK,920,1016.0,56.0,17.0,1033.0,339.0,329.0,301.0,2586,1834.0,11.0,1759,1845.0,46.0,0,0,,0.0,0.0,46.0,0.0,0.0
2015,1,1,4,B6,584,N531JB,MCO,JFK,937,933.0,-4.0,15.0,948.0,142.0,146.0,125.0,944,1153.0,6.0,1159,1159.0,0.0,0,0,,,,,,
2015,1,1,4,AA,84,N3AXAA,BOS,JFK,940,930.0,-10.0,15.0,945.0,75.0,69.0,46.0,187,1031.0,8.0,1055,1039.0,-16.0,0,0,,,,,,
2015,1,1,4,B6,354,N570JB,PBI,JFK,940,935.0,-5.0,9.0,944.0,151.0,149.0,135.0,1028,1159.0,5.0,1211,1204.0,-7.0,0,0,,,,,,
2015,1,1,4,B6,76,N294JB,MSY,JFK,940,941.0,1.0,14.0,955.0,164.0,161.0,142.0,1182,1317.0,5.0,1324,1322.0,-2.0,0,0,,,,,,
2015,1,1,4,DL,511,N551NW,SLC,JFK,940,951.0,11.0,26.0,1017.0,267.0,249.0,217.0,1990,1554.0,6.0,1607,1600.0,-7.0,0,0,,,,,,
2015,1,1,4,DL,2352,N718TW,ATL,JFK,950,949.0,-1.0,18.0,1007.0,128.0,122.0,96.0,760,1143.0,8.0,1158,1151.0,-7.0,0,0,,,,,,
2015,1,1,4,B6,906,N267JB,ORD,JFK,956,1009.0,13.0,13.0,1022.0,123.0,110.0,90.0,740,1252.0,7.0,1259,1259.0,0.0,0,0,,,,,,
2015,1,1,4,US,425,N181UW,PHX,JFK,958,957.0,-1.0,17.0,1014.0,292.0,274.0,232.0,2153,1606.0,25.0,1650,1631.0,-19.0,0,0,,,,,,
2015,1,1,4,AA,290,N3JKAA,AUS,JFK,1000,,,,,215.0,,,1521,,,1435,,,0,1,A,,,,,
2015,1,1,4,B6,502,N559JB,FLL,JFK,1000,958.0,-2.0,10.0,1008.0,162.0,153.0,138.0,1069,1226.0,5.0,1242,1231.0,-11.0,0,0,,,,,,
2015,1,1,4,B6,886,N358JB,RDU,JFK,1004,1010.0,6.0,14.0,1024.0,86.0,81.0,63.0,427,1127.0,4.0,1130,1131.0,1.0,0,0,,,,,,
2015,1,1,4,B6,514,N561JB,LGB,JFK,1007,1001.0,-6.0,14.0,1015.0,317.0,298.0,275.0,2465,1750.0,9.0,1824,1759.0,-25.0,0,0,,,,,,
2015,1,1,4,AA,1580,N634AA,MIA,JFK,1010,1036.0,26.0,11.0,1047.0,169.0,159.0,144.0,1089,1311.0,4.0,1259,1315.0,16.0,0,0,,0.0,0.0,0.0,16.0,0.0
2015,1,1,4,AA,120,N3GYAA,LAS,JFK,1015,1057.0,42.0,21.0,1118.0,300.0,277.0,242.0,2248,1820.0,14.0,1815,1834.0,19.0,0,0,,0.0,0.0,1.0,18.0,0.0
2015,1,1,4,AA,172,N791AA,LAX,JFK,1015,1007.0,-8.0,12.0,1019.0,330.0,298.0,275.0,2475,1754.0,11.0,1845,1805.0,-40.0,0,0,,,,,,
2015,1,1,4,B6,717,N337JB,BOS,JFK,1021,1017.0,-4.0,11.0,1028.0,72.0,60.0,45.0,187,1113.0,4.0,1133,1117.0,-16.0,0,0,,,,,,
2015,1,1,4,AA,64,N3HXAA,DFW,JFK,1025,1041.0,16.0,13.0,1054.0,200.0,187.0,169.0,1391,1443.0,5.0,1445,1448.0,3.0,0,0,,,,,,
2015,1,1,4,MQ,3465,N830MQ,RDU,JFK,1025,1020.0,-5.0,8.0,1028.0,90.0,80.0,66.0,427,1134.0,6.0,1155,1140.0,-15.0,0,0,,,,,,
2015,1,1,4,B6,930,N526JB,RSW,JFK,1026,1020.0,-6.0,11.0,1031.0,153.0,154.0,139.0,1074,1250.0,4.0,1259,1254.0,-5.0,0,0,,,,,,
2015,1,1,4,UA,779,N595UA,LAX,JFK,1032,1101.0,29.0,13.0,1114.0,318.0,291.0,265.0,2475,1839.0,13.0,1850,1852.0,2.0,0,0,,,,,,
2015,1,1,4,B6,1274,N615JB,CHS,JFK,1038,1039.0,1.0,12.0,1051.0,101.0,105.0,86.0,636,1217.0,7.0,1219,1224.0,5.0,0,0,,,,,,
2015,1,1,4,VX,406,N835VA,LAX,JFK,1040,1101.0,21.0,9.0,1110.0,325.0,312.0,291.0,2475,1901.0,12.0,1905,1913.0,8.0,0,0,,,,,,
2015,1,1,4,DL,1075,N372DA,DEN,JFK,1045,1042.0,-3.0,13.0,1055.0,219.0,207.0,175.0,1626,1550.0,19.0,1624,1609.0,-15.0,0,0,,,,,,
2015,1,1,4,B6,218,N284JB,CLT,JFK,1047,1039.0,-8.0,15.0,1054.0,103.0,95.0,75.0,541,1209.0,5.0,1230,1214.0,-16.0,0,0,,,,,,
2015,1,1,4,UA,760,N588UA,SFO,JFK,1055,1104.0,9.0,18.0,1122.0,330.0,345.0,317.0,2586,1939.0,10.0,1925,1949.0,24.0,0,0,,24.0,0.0,0.0,0.0,0.0
2015,1,1,4,B6,842,N612JB,SAV,JFK,1055,1054.0,-1.0,9.0,1103.0,118.0,104.0,92.0,718,1235.0,3.0,1253,1238.0,-15.0,0,0,,,,,,
2015,1,1,4,AA,2393,N3APAA,MCO,JFK,1055,1246.0,111.0,14.0,1300.0,150.0,141.0,122.0,944,1502.0,5.0,1325,1507.0,102.0,0,0,,0.0,0.0,0.0,102.0,0.0
2015,1,1,4,MQ,3370,N535MQ,DCA,JFK,1059,1103.0,4.0,12.0,1115.0,73.0,58.0,40.0,213,1155.0,6.0,1212,1201.0,-11.0,0,0,,,,,,
2015,1,1,4,B6,224,N937JB,LAX,JFK,1100,1054.0,-6.0,12.0,1106.0,318.0,323.0,302.0,2475,1908.0,9.0,1918,1917.0,-1.0,0,0,,,,,,
2015,1,1,4,DL,2583,N914DL,FLL,JFK,1100,1052.0,-8.0,20.0,1112.0,174.0,174.0,148.0,1069,1340.0,6.0,1354,1346.0,-8.0,0,0,,,,,,
2015,1,1,4,B6,1633,N229JB,BTV,JFK,1104,1049.0,-15.0,9.0,1058.0,78.0,62.0,47.0,266,1145.0,6.0,1222,1151.0,-31.0,0,0,,,,,,
2015,1,1,4,B6,938,N794JB,BQN,JFK,1108,1109.0,1.0,10.0,1119.0,231.0,237.0,223.0,1576,1402.0,4.0,1359,1406.0,7.0,0,0,,,,,,
2015,1,1,4,B6,684,N585JB,MCO,JFK,1113,1122.0,9.0,11.0,1133.0,150.0,146.0,131.0,944,1344.0,4.0,1343,1348.0,5.0,0,0,,,,,,
2015,1,1,4,AA,12,N792AA,LAX,JFK,1115,1114.0,-1.0,19.0,1133.0,335.0,321.0,287.0,2475,1920.0,15.0,1950,1935.0,-15.0,0,0,,,,,,
2015,1,1,4,B6,2401,N273JB,BUF,JFK,1115,1110.0,-5.0,11.0,1121.0,76.0,65.0,51.0,301,1212.0,3.0,1231,1215.0,-16.0,0,0,,,,,,
2015,1,1,4,B6,526,N505JB,TPA,JFK,1120,1113.0,-7.0,11.0,1124.0,153.0,148.0,129.0,1005,1333.0,8.0,1353,1341.0,-12.0,0,0,,,,,,
2015,1,1,4,B6,678,N606JB,JAX,JFK,1120,1107.0,-13.0,17.0,1124.0,129.0,136.0,107.0,828,1311.0,12.0,1329,1323.0,-6.0,0,0,,,,,,
2015,1,1,4,B6,285,N536JB,ROC,JFK,1125,1122.0,-3.0,10.0,1132.0,77.0,66.0,52.0,264,1224.0,4.0,1242,1228.0,-14.0,0,0,,,,,,
2015,1,1,4,B6,164,N586JB,SRQ,JFK,1135,1134.0,-1.0,10.0,1144.0,156.0,147.0,132.0,1041,1356.0,5.0,1411,1401.0,-10.0,0,0,,,,,,
2015,1,1,4,B6,315,N203JB,SYR,JFK,1140,1135.0,-5.0,18.0,1153.0,70.0,67.0,44.0,209,1237.0,5.0,1250,1242.0,-8.0,0,0,,,,,,
2015,1,1,4,DL,411,N194DN,LAX,JFK,1140,1139.0,-1.0,26.0,1205.0,320.0,315.0,276.0,2475,1941.0,13.0,2000,1954.0,-6.0,0,0,,,,,,
2015,1,1,4,B6,1404,N763JB,SJU,JFK,1143,1139.0,-4.0,9.0,1148.0,240.0,245.0,231.0,1598,1439.0,5.0,1443,1444.0,1.0,0,0,,,,,,
2015,1,1,4,DL,1167,N995AT,TPA,JFK,1146,1143.0,-3.0,15.0,1158.0,159.0,149.0,130.0,1005,1408.0,4.0,1425,1412.0,-13.0,0,0,,,,,,
2015,1,1,4,AA,66,N631AA,SJU,JFK,1151,1142.0,-9.0,22.0,1204.0,245.0,247.0,221.0,1598,1445.0,4.0,1456,1449.0,-7.0,0,0,,,,,,
2015,1,1,4,DL,939,N380DA,MSY,JFK,1157,1151.0,-6.0,10.0,1201.0,183.0,155.0,138.0,1182,1519.0,7.0,1600,1526.0,-34.0,0,0,,,,,,
2015,1,1,4,DL,2658,N3747D,LAS,JFK,1159,1153.0,-6.0,19.0,1212.0,290.0,284.0,254.0,2248,1926.0,11.0,1949,1937.0,-12.0,0,0,,,,,,
2015,1,1,4,B6,416,N944JB,SFO,JFK,1200,1206.0,6.0,15.0,1221.0,330.0,347.0,322.0,2586,2043.0,10.0,2030,2053.0,23.0,0,0,,17.0,0.0,6.0,0.0,0.0
2015,1,1,4,B6,1002,N905JB,FLL,JFK,1203,1202.0,-1.0,15.0,1217.0,174.0,157.0,138.0,1069,1435.0,4.0,1457,1439.0,-18.0,0,0,,,,,,
2015,1,1,4,DL,2644,N954DL,PBI,JFK,1205,1205.0,0.0,19.0,1224.0,162.0,173.0,146.0,1028,1450.0,8.0,1447,1458.0,11.0,0,0,,,,,,
2015,1,1,4,B6,117,N236JB,BOS,JFK,1209,1203.0,-6.0,17.0,1220.0,73.0,71.0,50.0,187,1310.0,4.0,1322,1314.0,-8.0,0,0,,,,,,
2015,1,1,4,DL,2642,N968DL,RSW,JFK,1209,1159.0,-10.0,18.0,1217.0,170.0,167.0,141.0,1074,1438.0,8.0,1459,1446.0,-13.0,0,0,,,,,,
2015,1,1,4,DL,1218,N986DL,ATL,JFK,1212,1215.0,3.0,11.0,1226.0,137.0,119.0,101.0,760,1407.0,7.0,1429,1414.0,-15.0,0,0,,,,,,
2015,1,1,4,DL,1473,N693DL,SEA,JFK,1215,1216.0,1.0,17.0,1233.0,309.0,288.0,264.0,2422,1957.0,7.0,2024,2004.0,-20.0,0,0,,,,,,
2015,1,1,4,AA,4,N799AA,LAX,JFK,1220,1214.0,-6.0,23.0,1237.0,330.0,319.0,284.0,2475,2021.0,12.0,2050,2033.0,-17.0,0,0,,,,,,
2015,1,1,4,B6,282,N247JB,HOU,JFK,1220,1215.0,-5.0,12.0,1227.0,197.0,183.0,166.0,1428,1613.0,5.0,1637,1618.0,-19.0,0,0,,,,,,
2015,1,1,4,B6,1026,N784JB,TPA,JFK,1223,1222.0,-1.0,11.0,1233.0,154.0,155.0,138.0,1005,1451.0,6.0,1457,1457.0,0.0,0,0,,,,,,
2015,1,1,4,MQ,3091,N675MQ,BNA,JFK,1225,1235.0,10.0,15.0,1250.0,145.0,125.0,100.0,765,1530.0,10.0,1550,1540.0,-10.0,0,0,,,,,,
2015,1,1,4,DL,1644,N703TW,FLL,JFK,1231,1244.0,13.0,23.0,1307.0,178.0,168.0,140.0,1069,1527.0,5.0,1529,1532.0,3.0,0,0,,,,,,
2015,1,1,4,DL,1671,N6704Z,MIA,JFK,1240,1241.0,1.0,16.0,1257.0,178.0,159.0,137.0,1089,1514.0,6.0,1538,1520.0,-18.0,0,0,,,,,,
2015,1,1,4,AA,16,N783AA,SFO,JFK,1245,1316.0,31.0,18.0,1334.0,330.0,333.0,305.0,2586,2139.0,10.0,2115,2149.0,34.0,0,0,,3.0,0.0,0.0,31.0,0.0
2015,1,1,4,B6,207,N348JB,PWM,JFK,1245,1244.0,-1.0,9.0,1253.0,77.0,67.0,53.0,273,1346.0,5.0,1402,1351.0,-11.0,0,0,,,,,,
2015,1,1,4,B6,324,N929JB,LAX,JFK,1245,1240.0,-5.0,13.0,1253.0,317.0,322.0,297.0,2475,2050.0,12.0,2102,2102.0,0.0,0,0,,,,,,
2015,1,1,4,MQ,3145,N618MQ,CMH,JFK,1245,1320.0,35.0,18.0,1338.0,105.0,104.0,75.0,483,1453.0,11.0,1430,1504.0,34.0,0,0,,0.0,0.0,14.0,20.0,0.0
2015,1,1,4,MQ,3262,N603MQ,IND,JFK,1245,1302.0,17.0,11.0,1313.0,125.0,108.0,92.0,665,1445.0,5.0,1450,1450.0,0.0,0,0,,,,,,
2015,1,1,4,AA,198,N3ELAA,ORD,JFK,1255,1252.0,-3.0,12.0,1304.0,130.0,112.0,95.0,740,1539.0,5.0,1605,1544.0,-21.0,0,0,,,,,,
2015,1,1,4,B6,1094,N524JB,AUS,JFK,1255,1307.0,12.0,17.0,1324.0,211.0,205.0,179.0,1521,1723.0,9.0,1726,1732.0,6.0,0,0,,,,,,
2015,1,1,4,DL,920,N712TW,LAX,JFK,1255,1253.0,-2.0,14.0,1307.0,320.0,302.0,278.0,2475,2045.0,10.0,2115,2055.0,-20.0,0,0,,,,,,
2015,1,1,4,MQ,2915,N637MQ,CLE,JFK,1255,1258.0,3.0,10.0,1308.0,95.0,78.0,62.0,425,1410.0,6.0,1430,1416.0,-14.0,0,0,,,,,,
2015,1,1,4,MQ,3054,N624MQ,CVG,JFK,1255,1248.0,-7.0,10.0,1258.0,115.0,104.0,87.0,589,1425.0,7.0,1450,1432.0,-18.0,0,0,,,,,,
2015,1,1,4,MQ,3225,N824MQ,DCA,JFK,1255,1253.0,-2.0,15.0,1308.0,78.0,62.0,44.0,213,1352.0,3.0,1413,1355.0,-18.0,0,0,,,,,,
2015,1,1,4,DL,395,N399DA,SJU,JFK,1256,2127.0,511.0,11.0,2138.0,244.0,245.0,229.0,1598,27.0,5.0,1600,32.0,512.0,0,0,,1.0,0.0,511.0,0.0,0.0
2015,1,1,4,DL,2586,N915DL,MCO,JFK,1300,1337.0,37.0,11.0,1348.0,155.0,136.0,120.0,944,1548.0,5.0,1535,1553.0,18.0,0,0,,0.0,0.0,7.0,11.0,0.0
